icao_code,telephony,company_name,country,is_virtual,notes
DKN,AIR DECCAN,AIR DECCAN,INDIA,f,
DKR,DIMA,DARIK SKY,BULGARIA,f,
DKT,DAKOTA,"BUSINESS AVIATION COURIER, INC. (SIOUX FALLS, SD)",UNITED STATES,f,
DKZ,NOMAD,DALA AIR,KAZAKHSTAN,f,
DLA,DOLOMITI,AIR DOLOMITI,ITALY,f,
DLB,AIRLINK BAHAMAS,DESTINATION AIRLINK BAHAMAS LTD,BAHAMAS,f,
DLC,SOARCOPTER,"DEHONG SOUTH ASIAN GENERAL AVIATION CO., LTD",CHINA,f,
DLF,RED WISENT,DIRECT FLY SP. Z.O.O.,POLAND,f,
DLG,DELGOLFO,"AEROLINEAS DEL GOLFO, S.A. DE C.V.",MEXICO,f,
DLH,LUFTHANSA,"DEUTSCHE LUFTHANSA, AG, KOELN",GERMANY,f,
DLJ,DING AIR,"DINGLONG BUSINESS AVIATION CO., LTD",CHINA,f,
DLK,DEKKANLANKA,MILLENNIUM AIRLINES PRIVATE LIMITED,SRI LANKA,f,
DLR,DALA AIR,DALA AIR SERVICES LTD,NIGERIA,f,
DLX,DREAMLINE,"DREAMLINE AVIATION, LLC (SAN FRANCISCO, CA)",UNITED STATES,f,
DLY,DAILY,"AIR INDEPENDENCE GMBH, MUENCHEN",GERMANY,f,
DMB,AERORENTAL,AERORENTAL,PANAMA,f,
DMC,DINAMICAMONT,"AERODINAMICA DE MONTERREY, S.A. DE C.V.",MEXICO,f,
DMD,DIAMONDJET,NAMDEB DIAMOND CORPORATION NAMIBIA,NAMIBIA,f,
DMI,AERODINAMICO,"AEROSERVICIOS DINAMICOS, S.A. DE C.V.",MEXICO,f,
DMJ,DAMOJH,"AEROLINEAS DAMOJH, S.A. DE C.V.",MEXICO,f,
DML,DREAMLAND,GETJET AIRLINES LATVIA,LATVIA,f,
DMN,DIAMOND ACADEMY,DIAMOND FLIGHT ACADEMY SCANDINAVIA AB,SWEDEN,f,
DMQ,DALO,DAALLO AIRLINES (SOMALIA),SOMALIA,f,
DMR,HELIDOSA,HELIDOSA AVIATION GROUP,DOMINICAN REPUBLIC,f,
DMS,DIAMOND,DIAMOND SKY,ESTONIA,f,
DNA,DAN AIR,DAN AIR,ROMANIA,f,
DNC,FLYINGOLIVE,"AERODYNAMICS MALAGA, S.L.",SPAIN,f,
DND,DINDER,ELDINDER AIRLINES,SUDAN,f,
DNU,DANU,DAT LT UAB,LITHUANIA,f,
DNY,DANISH NAVY,DANISH NAVY,DENMARK,f,
DOC,HELIDOC,NORSK LUFTAMBULANSE A/S,NORWAY,f,
DOG,CANINE FLIGHT,CANINE COMPANIONS FOR INDEPENDENCE,UNITED STATES,f,
DOI,INTERIOR,"U.S. DEPARTMENT OF THE INTERIOR, OFFICE OF AIRCRAFT SERVICES, (BOISE, ID)",UNITED STATES,f,
DOJ,JUSTICE,"UNITED STATES DEPARTMENT OF JUSTICE PRISONER AND ALIEN TRANSPORTATION SERVICE (JPATS) (EL PASO, TX)",UNITED STATES,f,
DOK,DOCTOR,NORDIC AIR AMBULANCE A/S,DENMARK,f,
DOL,DOLLAR SIGN,"EBSCO, INC. D/B/A MILLION AIR LONGVIEW (LONGVIEW, TX)",UNITED STATES,f,
